Pais;Score;Rank;Income;RankIncome;Region;RankRegion
Switzerland;67.24;1;HI;1;EUR;1
Sweden;63.65;2;HI;2;EUR;2
UnitedStatesofAmerica;61.73;3;HI;3;NAC;1
Netherlands;61.44;4;HI;4;EUR;3
UnitedKingdom;61.30;5;HI;5;EUR;4
Finland;59.83;6;HI;6;EUR;5
Denmark;58.44;7;HI;7;EUR;6
Singapore;58.37;8;HI;8;SEAO;1
Germany;58.19;9;HI;9;EUR;7
Israel;57.43;10;HI;10;NAWA;1
Korea;56.55;11;HI;11;SEAO;2
Ireland;56.10;12;HI;12;EUR;8
HongKong;55.54;13;HI;13;SEAO;3
China;54.82;14;UM;1;SEAO;4
Japan;54.68;15;HI;14;SEAO;5
France;54.25;16;HI;15;EUR;9
Canada;53.88;17;HI;16;NAC;2
Luxembourg;53.47;18;HI;17;EUR;10
Norway;51.87;19;HI;18;EUR;11
Iceland;51.53;20;HI;19;EUR;12
Austria;50.94;21;HI;20;EUR;13
Australia;50.34;22;HI;21;SEAO;6
Belgium;50.18;23;HI;22;EUR;14
Estonia;49.97;24;HI;23;EUR;15
NewZealand;49.55;25;HI;24;SEAO;7
CzechRepublic;49.43;26;HI;25;EUR;16
Malta;49.01;27;HI;26;EUR;17
Cyprus;48.34;28;HI;27;NAWA;2
Spain;47.85;29;HI;28;EUR;18
Italy;46.30;30;HI;29;EUR;19
Slovenia;45.25;31;HI;30;EUR;20
Portugal;44.65;32;HI;31;EUR;21
Hungary;44.51;33;HI;32;EUR;22
Latvia;43.23;34;HI;33;EUR;23
Malaysia;42.68;35;UM;2;SEAO;8
UnitedArabEmirates;42.17;36;HI;34;NAWA;3
Slovakia;42.05;37;HI;35;EUR;24
Lithuania;41.46;38;HI;36;EUR;25
Poland;41.31;39;HI;37;EUR;26
Bulgaria;40.35;40;UM;3;EUR;27
Greece;38.90;41;HI;38;EUR;28
VietNam;38.84;42;LM;1;SEAO;9
Thailand;38.63;43;UM;4;SEAO;10
Croatia;37.82;44;HI;39;EUR;29
Montenegro;37.70;45;UM;5;EUR;30
Russia;37.62;46;UM;6;EUR;31
Ukraine;37.40;47;LM;2;EUR;32
Georgia;36.98;48;LM;3;NAWA;4
Turkey;36.95;49;UM;7;NAWA;5
Romania;36.76;50;UM;8;EUR;33
Chile;36.64;51;HI;40;LCN;1
India;36.58;52;LM;4;CSA;1
Mongolia;36.29;53;LM;5;SEAO;11
Philippines;36.18;54;LM;6;SEAO;12
CostaRica;36.13;55;UM;9;LCN;2
Mexico;36.06;56;UM;10;LCN;3
Serbia;35.71;57;UM;11;EUR;34
