Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Switzerland;68.2;1;HI;1;EUR;1
Sweden;64.8;2;HI;2;EUR;2
Singapore;63.5;3;HI;3;SEAO;1
Finland;61.8;4;HI;4;EUR;3
UnitedKingdom;61.2;5;HI;5;EUR;4
Netherlands;60.5;6;HI;6;EUR;5
Denmark;59.9;7;HI;7;EUR;6
HongKong;58.7;8;HI;8;SEAO;2
Ireland;58.7;9;HI;9;EUR;7
UnitedStatesofAmerica;57.7;10;HI;10;NAC;1
Luxembourg;57.7;11;HI;11;EUR;8
Canada;56.9;12;HI;12;NAC;2
NewZealand;56.6;13;HI;13;SEAO;3
Norway;56.4;14;HI;14;EUR;9
Germany;56.2;15;HI;15;EUR;10
Malta;56.1;16;HI;16;EUR;11
Israel;56.0;17;HI;17;NAWA;1
Iceland;55.7;18;HI;18;EUR;12
Estonia;55.3;19;HI;19;EUR;13
Belgium;54.3;20;HI;20;EUR;14
Korea;53.9;21;HI;21;SEAO;4
Austria;53.1;22;HI;22;EUR;15
Australia;51.9;23;HI;23;SEAO;5
France;51.8;24;HI;24;EUR;16
Japan;51.7;25;HI;25;SEAO;6
Slovenia;49.9;26;HI;26;EUR;17
CzechRepublic;49.7;27;HI;27;EUR;18
Cyprus;47.9;28;HI;28;NAWA;2
Spain;47.2;29;HI;29;EUR;19
Latvia;47.0;30;UM;1;EUR;20
Hungary;46.5;31;HI;30;EUR;21
Malaysia;45.9;32;UM;2;SEAO;7
Qatar;45.5;33;HI;31;NAWA;3
China;45.4;34;UM;3;SEAO;8
Portugal;45.3;35;HI;32;EUR;22
Italy;44.5;36;HI;33;EUR;23
UnitedArabEmirates;44.4;37;HI;34;NAWA;4
Lithuania;44.0;38;UM;4;EUR;24
Chile;42.7;39;UM;5;LCN;1
Slovakia;41.4;40;HI;35;EUR;25
Bahrain;41.1;41;HI;36;NAWA;5
Croatia;40.7;42;HI;37;EUR;26
Bulgaria;40.7;43;UM;6;EUR;27
Poland;40.4;44;HI;38;EUR;28
Montenegro;40.1;45;UM;7;EUR;29
Serbia;40.0;46;UM;8;EUR;30
Oman;39.5;47;HI;39;NAWA;6
SaudiArabia;39.3;48;HI;40;NAWA;7
Mauritius;39.2;49;UM;9;SSF;1
Moldova;39.2;50;LM;1;EUR;31
Russia;37.9;51;UM;10;EUR;32
Romania;37.8;52;UM;11;EUR;33
BruneiDarussalam;37.7;53;HI;41;SEAO;9
SouthAfrica;37.4;54;UM;12;SSF;2
Kuwait;37.2;55;HI;42;NAWA;8
Jordan;37.1;56;UM;13;NAWA;9
Thailand;36.9;57;UM;14;SEAO;10
Brazil;36.6;58;UM;15;LCN;2
Tunisia;36.5;59;UM;16;NAWA;10
CostaRica;36.3;60;UM;17;LCN;3
Lebanon;36.2;61;UM;18;NAWA;11
Macedonia;36.2;62;UM;19;EUR;34
Ukraine;36.1;63;LM;2;EUR;35
India;35.7;64;LM;3;CSA;1
Colombia;35.5;65;UM;20;LCN;4
Greece;35.3;66;HI;43;EUR;36
Uruguay;35.1;67;UM;21;LCN;5
Mongolia;35.0;68;LM;4;SEAO;11
Armenia;34.5;69;LM;5;NAWA;12
Argentina;34.4;70;UM;22;LCN;6
Georgia;34.3;71;LM;6;NAWA;13
BosniaandHerzegovina;34.2;72;UM;23;EUR;37
Namibia;34.1;73;UM;24;SSF;3
Turkey;34.1;74;UM;25;NAWA;14
Peru;34.1;75;UM;26;LCN;7
VietNam;33.9;76;LM;7;SEAO;12
Guyana;33.7;77;LM;8;LCN;8
Belarus;32.9;78;UM;27;EUR;38
Mexico;32.9;79;UM;28;LCN;9
Belize;32.5;80;LM;9;LCN;10
TrinidadandTobago;32.5;81;HI;44;LCN;11
Swaziland;32.0;82;LM;10;SSF;4
Kazakhstan;31.9;83;UM;29;CSA;2
Paraguay;31.6;84;LM;11;LCN;12
Botswana;31.4;85;UM;30;SSF;5
DominicanRepublic;30.9;86;UM;31;LCN;13
Panama;30.9;87;UM;32;LCN;14
Morocco;30.7;88;LM;12;NAWA;15
Azerbaijan;30.4;89;UM;33;NAWA;16
Albania;30.4;90;UM;34;EUR;39
Jamaica;30.2;91;UM;35;LCN;15
Ghana;29.6;92;LM;13;SSF;6
ElSalvador;29.5;93;LM;14;LCN;16
SriLanka;29.1;94;LM;15;CSA;3
Philippines;29.0;95;LM;16;SEAO;13
Kenya;28.9;96;LI;1;SSF;7
Senegal;28.8;97;LM;17;SSF;8
Ecuador;28.5;98;UM;36;LCN;17
Guatemala;28.4;99;LM;18;LCN;18
Indonesia;28.1;100;LM;19;SEAO;14
Fiji;27.9;101;LM;20;SEAO;15
Rwanda;27.9;102;LI;2;SSF;9
Egypt;27.9;103;LM;21;NAWA;17
Iran;27.3;104;UM;37;CSA;4
Nicaragua;26.7;105;LM;22;LCN;19
Gabon;26.5;106;UM;38;SSF;10
Zambia;26.4;107;LM;23;SSF;11
Tajikistan;26.4;108;LI;3;CSA;5
Kyrgyzstan;26.4;109;LI;4;CSA;6
Mozambique;26.3;110;LI;5;SSF;12
Honduras;26.3;111;LM;24;LCN;20
