Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Switzerland;66.28;1;HI;1;EUR;1;0.94;5
Sweden;63.57;2;HI;2;EUR;2;0.86;10
UnitedKingdom;61.93;3;HI;3;EUR;3;0.83;14
UnitedStatesofAmerica;61.40;4;HI;4;NAC;1;0.79;25
Finland;59.90;5;HI;5;EUR;4;0.75;32
Singapore;59.16;6;HI;6;SEAO;1;0.62;78
Ireland;59.03;7;HI;7;EUR;5;0.89;8
Denmark;58.45;8;HI;8;EUR;6;0.74;34
Netherlands;58.29;9;HI;9;EUR;7;0.82;20
Germany;57.94;10;HI;10;EUR;8;0.87;9
Korea;57.15;11;HI;11;SEAO;2;0.80;24
Luxembourg;57.11;12;HI;12;EUR;9;1.02;1
Iceland;55.99;13;HI;13;EUR;10;0.98;3
HongKong;55.69;14;HI;14;SEAO;3;0.61;83
Canada;54.71;15;HI;15;NAC;2;0.67;57
Japan;54.52;16;HI;16;SEAO;4;0.65;65
NewZealand;54.23;17;HI;17;SEAO;5;0.73;40
France;54.04;18;HI;18;EUR;11;0.73;44
Australia;53.07;19;HI;19;SEAO;6;0.64;73
Austria;52.65;20;HI;20;EUR;12;0.73;43
Israel;52.28;21;HI;21;NAWA;1;0.81;23
Norway;52.01;22;HI;22;EUR;13;0.68;55
Belgium;51.97;23;HI;23;EUR;14;0.78;27
Estonia;51.73;24;HI;24;EUR;15;0.91;6
China;50.57;25;UM;1;SEAO;7;0.90;7
Malta;50.44;26;HI;25;EUR;16;0.98;2
CzechRepublic;49.40;27;HI;26;EUR;17;0.82;21
Spain;49.19;28;HI;27;EUR;18;0.72;48
Italy;47.17;29;HI;28;EUR;19;0.74;33
Portugal;46.45;30;HI;29;EUR;20;0.75;31
Cyprus;46.34;31;HI;30;NAWA;2;0.79;26
Slovenia;45.97;32;HI;31;EUR;21;0.74;39
Hungary;44.71;33;HI;32;EUR;22;0.83;17
Latvia;44.33;34;HI;33;EUR;23;0.78;28
