Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Switzerland;67.69;1;HI;1;EUR;1;0.95;2
Sweden;63.82;2;HI;2;EUR;2;0.83;12
Netherlands;63.36;3;HI;3;EUR;3;0.93;4
UnitedStatesofAmerica;61.40;4;HI;4;NAC;1;0.78;21
UnitedKingdom;60.89;5;HI;5;EUR;4;0.78;20
Denmark;58.70;6;HI;6;EUR;5;0.71;34
Singapore;58.69;7;HI;7;SEAO;1;0.62;63
Finland;58.49;8;HI;8;EUR;6;0.70;37
Germany;58.39;9;HI;9;EUR;7;0.84;7
Ireland;58.13;10;HI;10;EUR;8;0.85;6
Korea;57.70;11;HI;11;SEAO;2;0.82;14
Luxembourg;56.40;12;HI;12;EUR;9;0.97;1
Iceland;55.76;13;HI;13;EUR;10;0.86;5
Japan;54.72;14;HI;14;SEAO;3;0.67;49
France;54.18;15;HI;15;EUR;11;0.71;35
HongKong;53.88;16;HI;16;SEAO;4;0.61;73
Israel;53.88;17;HI;17;NAWA;1;0.77;23
Canada;53.65;18;HI;18;NAC;2;0.64;59
Norway;53.14;19;HI;19;EUR;12;0.66;51
Austria;53.10;20;HI;20;EUR;13;0.69;41
NewZealand;52.87;21;HI;21;SEAO;5;0.65;56
China;52.54;22;UM;1;SEAO;6;0.94;3
Australia;51.83;23;HI;22;SEAO;7;0.60;76
CzechRepublic;50.98;24;HI;23;EUR;14;0.83;13
Estonia;50.93;25;HI;24;EUR;15;0.79;19
Malta;50.60;26;HI;25;EUR;16;0.84;8
Belgium;49.85;27;HI;26;EUR;17;0.67;47
Spain;48.81;28;HI;27;EUR;18;0.70;36
Italy;46.96;29;HI;28;EUR;19;0.73;31
Cyprus;46.84;30;HI;29;NAWA;2;0.74;28
Portugal;46.05;31;HI;30;EUR;20;0.71;33
Slovenia;45.80;32;HI;31;EUR;21;0.68;44
Latvia;44.61;33;HI;32;EUR;22;0.74;26
Slovakia;43.43;34;HI;33;EUR;23;0.75;25
UnitedArabEmirates;43.24;35;HI;34;NAWA;3;0.49;104
Bulgaria;42.84;36;UM;2;EUR;24;0.80;15
Malaysia;42.72;37;UM;3;SEAO;8;0.68;46
Poland;41.99;38;HI;35;EUR;25;0.67;48
Hungary;41.74;39;HI;36;EUR;26;0.73;30
Lithuania;41.17;40;HI;37;EUR;27;0.59;84
Croatia;39.80;41;HI;38;EUR;28;0.66;52
Romania;39.16;42;UM;4;EUR;29;0.69;39
Turkey;38.90;43;UM;5;NAWA;4;0.84;9
Greece;38.85;44;HI;39;EUR;30;0.56;87
Russia;38.76;45;UM;6;EUR;31;0.61;75
Chile;38.70;46;HI;40;LCN;1;0.60;77
VietNam;38.34;47;LM;1;SEAO;9;0.84;10
Montenegro;38.07;48;UM;7;EUR;32;0.63;62
Qatar;37.90;49;HI;41;NAWA;5;0.61;68
Ukraine;37.62;50;LM;2;EUR;33;0.83;11
Thailand;37.57;51;UM;8;SEAO;10;0.75;24
Mongolia;37.13;52;LM;3;SEAO;11;0.74;27
CostaRica;37.09;53;UM;9;LCN;2;0.69;43
Moldova;36.84;54;LM;4;EUR;34;0.78;22
SaudiArabia;36.17;55;HI;42;NAWA;6;0.53;96
Kuwait;36.10;56;HI;43;NAWA;7;0.79;18
