Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Switzerland;64.78;1;HI;1;EUR;1;0.95;6
UnitedKingdom;62.37;2;HI;2;EUR;2;0.83;29
Sweden;62.29;3;HI;3;EUR;3;0.85;22
Finland;60.67;4;HI;4;EUR;4;0.80;41
Netherlands;60.59;5;HI;5;EUR;5;0.91;12
UnitedStatesofAmerica;60.09;6;HI;6;NAC;1;0.77;57
Singapore;59.24;7;HI;7;SEAO;1;0.61;110
Denmark;57.52;8;HI;8;EUR;6;0.76;61
Luxembourg;56.86;9;HI;9;EUR;7;0.93;9
HongKong;56.82;10;HI;10;SEAO;2;0.66;99
Ireland;56.67;11;HI;11;EUR;8;0.79;47
Canada;56.13;12;HI;12;NAC;2;0.69;86
Germany;56.02;13;HI;13;EUR;9;0.86;19
Norway;55.59;14;HI;14;EUR;10;0.78;51
Israel;55.46;15;HI;15;NAWA;1;0.79;42
Korea;55.27;16;HI;16;SEAO;3;0.78;54
Australia;55.01;17;HI;17;SEAO;4;0.70;81
NewZealand;54.52;18;HI;18;SEAO;5;0.75;66
Iceland;54.05;19;HI;19;EUR;11;0.90;13
Austria;53.41;20;HI;20;EUR;12;0.74;69
Japan;52.41;21;HI;21;SEAO;6;0.69;88
France;52.18;22;HI;22;EUR;13;0.75;64
Belgium;51.69;23;HI;23;EUR;14;0.78;55
Estonia;51.54;24;HI;24;EUR;15;0.81;34
Malta;50.44;25;HI;25;EUR;16;0.99;3
CzechRepublic;50.22;26;HI;26;EUR;17;0.87;18
Spain;49.27;27;HI;27;EUR;18;0.76;60
Slovenia;47.23;28;HI;28;EUR;19;0.78;53
China;46.57;29;UM;1;SEAO;7;1.03;2
Cyprus;45.82;30;HI;29;NAWA;2;0.77;56
Italy;45.65;31;HI;30;EUR;20;0.78;52
Portugal;45.63;32;HI;31;EUR;21;0.74;73
Malaysia;45.60;33;UM;2;SEAO;8;0.74;72
Latvia;44.81;34;HI;32;EUR;22;0.82;32
Hungary;44.61;35;UM;3;EUR;23;0.90;15
