Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Switzerland;68.40;1;HI;1;EUR;1;0.96;1
Netherlands;63.32;2;HI;2;EUR;2;0.91;4
Sweden;63.08;3;HI;3;EUR;3;0.82;10
UnitedKingdom;60.13;4;HI;4;EUR;4;0.77;21
Singapore;59.83;5;HI;5;SEAO;1;0.61;63
UnitedStatesofAmerica;59.81;6;HI;6;NAC;1;0.76;22
Finland;59.63;7;HI;7;EUR;5;0.76;24
Denmark;58.39;8;HI;8;EUR;6;0.73;29
Germany;58.03;9;HI;9;EUR;7;0.83;9
Ireland;57.19;10;HI;10;EUR;8;0.81;13
Israel;56.79;11;HI;11;NAWA;1;0.81;14
Korea;56.63;12;HI;12;SEAO;2;0.79;20
Japan;54.95;13;HI;13;SEAO;3;0.68;44
HongKong;54.62;14;HI;14;SEAO;4;0.64;54
Luxembourg;54.53;15;HI;15;EUR;9;0.94;2
France;54.36;16;HI;16;EUR;10;0.72;32
China;53.06;17;UM;1;SEAO;5;0.92;3
Canada;52.98;18;HI;17;NAC;2;0.61;61
Norway;52.63;19;HI;18;EUR;11;0.64;52
Australia;51.98;20;HI;19;SEAO;6;0.58;76
Austria;51.32;21;HI;20;EUR;12;0.64;53
NewZealand;51.29;22;HI;21;SEAO;7;0.62;59
Iceland;51.24;23;HI;22;EUR;13;0.76;23
Estonia;50.51;24;HI;23;EUR;14;0.82;12
Belgium;50.50;25;HI;24;EUR;15;0.70;38
Malta;50.29;26;HI;25;EUR;16;0.84;7
CzechRepublic;48.75;27;HI;26;EUR;17;0.80;17
Spain;48.68;28;HI;27;EUR;18;0.70;36
Cyprus;47.83;29;HI;28;NAWA;2;0.79;18
Slovenia;46.87;30;HI;29;EUR;19;0.74;27
Italy;46.32;31;HI;30;EUR;20;0.70;35
Portugal;45.71;32;HI;31;EUR;21;0.71;34
Hungary;44.94;33;HI;32;EUR;22;0.84;8
Latvia;43.18;34;HI;33;EUR;23;0.69;39
Malaysia;43.16;35;UM;2;SEAO;8;0.66;48
Slovakia;42.88;36;HI;34;EUR;24;0.74;28
Bulgaria;42.65;37;UM;3;EUR;25;0.79;19
UnitedArabEmirates;42.58;38;HI;35;NAWA;3;0.50;95
Poland;41.67;39;HI;36;EUR;26;0.69;42
Lithuania;41.19;40;HI;37;EUR;27;0.63;58
Croatia;40.73;41;UM;4;EUR;28;0.70;37
Greece;38.93;42;HI;38;EUR;29;0.59;74
Ukraine;38.52;43;LM;1;EUR;30;0.90;5
Thailand;38.00;44;UM;5;SEAO;9;0.71;33
VietNam;37.94;45;LM;2;SEAO;10;0.80;16
Russia;37.90;46;UM;6;EUR;31;0.58;77
Chile;37.79;47;HI;39;LCN;1;0.60;68
Moldova;37.63;48;LM;3;EUR;32;0.89;6
Romania;37.59;49;UM;7;EUR;33;0.66;47
Turkey;37.42;50;UM;8;NAWA;4;0.75;25
Qatar;36.56;51;HI;40;NAWA;5;0.57;81
Montenegro;36.49;52;UM;9;EUR;34;0.63;56
Mongolia;35.90;53;LM;4;SEAO;11;0.72;30
CostaRica;35.72;54;UM;10;LCN;2;0.68;43
Serbia;35.46;55;UM;11;EUR;35;0.63;57
Mexico;35.34;56;UM;12;LCN;3;0.59;72
India;35.18;57;LM;5;CSA;1;0.65;49
SouthAfrica;35.13;58;UM;13;SSF;1;0.55;83
Georgia;35.05;59;LM;6;NAWA;6;0.58;79
Kuwait;34.43;60;HI;41;NAWA;7;0.74;26
SaudiArabia;34.27;61;HI;42;NAWA;8;0.47;104
Uruguay;34.20;62;HI;43;LCN;4;0.64;51
Colombia;33.78;63;UM;14;LCN;5;0.50;94
Brazil;33.44;64;UM;15;LCN;6;0.54;85
Iran;33.44;65;UM;16;CSA;2;0.82;11
Tunisia;32.86;66;LM;7;NAWA;9;0.63;55
Brunei;32.84;67;HI;44;SEAO;12;0.31;124
Armenia;32.81;68;LM;8;NAWA;10;0.80;15
Oman;32.80;69;HI;45;NAWA;11;0.51;92
Panama;32.37;70;UM;17;LCN;7;0.61;64
Peru;31.80;71;UM;18;LCN;8;0.47;100
Bahrain;31.73;72;HI;46;NAWA;12;0.55;84
Philippines;31.56;73;LM;9;SEAO;13;0.61;62
Kazakhstan;31.42;74;UM;19;CSA;3;0.44;111
Mauritius;31.31;75;UM;20;SSF;2;0.47;105
Morocco;31.09;76;LM;10;NAWA;13;0.61;65
BosniaandHerzegovina;31.09;77;UM;21;EUR;36;0.50;97
Kenya;31.07;78;LM;11;SSF;3;0.69;41
Jordan;30.77;79;LM;12;NAWA;14;0.65;50
Argentina;30.65;80;UM;22;LCN;9;0.51;91
Jamaica;30.39;81;UM;23;LCN;10;0.57;80
Azerbaijan;30.20;82;UM;24;NAWA;15;0.49;99
Albania;29.98;83;UM;25;EUR;37;0.44;110
Macedonia;29.91;84;UM;26;EUR;38;0.47;103
Indonesia;29.80;85;LM;13;SEAO;14;0.61;66
Belarus;29.35;86;UM;27;EUR;39;0.37;119
DominicanRepublic;29.33;87;UM;28;LCN;11;0.60;71
