Pais;Score;Rank;Income;RankIncome;Region;RankRegion;Eficiency;RankEficiency
Switzerland;68.30;1;HI;1;EUR;11.01;2
UnitedKingdom;62.42;2;HI;2;EUR;2;0.86;18
Sweden;62.40;3;HI;3;EUR;3;0.86;16
Netherlands;61.58;4;HI;4;EUR;4;0.92;8
UnitedStatesofAmerica;60.10;5;HI;5;NAC;1;0.79;33
Finland;59.97;6;HI;6;EUR;5;0.77;41
Singapore;59.36;7;HI;7;SEAO;1;0.65;100
Ireland;59.13;8;HI;8;EUR;6;0.88;12
Luxembourg;59.02;9;HI;9;EUR;7;1.00;3
Denmark;57.70;10;HI;10;EUR;8;0.75;49
HongKong;57.23;11;HI;11;SEAO;2;0.69;76
Germany;57.05;12;HI;12;EUR;9;0.87;13
Iceland;57.02;13;HI;13;EUR;10;0.98;4
Korea;56.26;14;HI;14;SEAO;3;0.80;27
NewZealand;55.92;15;HI;15;SEAO;4;0.77;40
Canada;55.73;16;HI;16;NAC;2;0.71;70
Australia;55.22;17;HI;17;SEAO;5;0.70;72
Austria;54.07;18;HI;18;EUR;11;0.77;37
Japan;53.97;19;HI;19;SEAO;6;0.69;78
Norway;53.80;20;HI;20;EUR;12;0.73;63
France;53.59;21;HI;21;EUR;13;0.75;51
Israel;53.54;22;HI;22;NAWA;1;0.83;20
Estonia;52.81;23;HI;23;EUR;14;0.86;17
CzechRepublic;51.32;24;HI;24;EUR;15;0.89;11
Belgium;50.91;25;HI;25;EUR;16;0.74;59
Malta;50.48;26;HI;26;EUR;17;0.95;7
Spain;49.07;27;HI;27;EUR;18;0.72;67
Slovenia;48.49;28;HI;28;EUR;19;0.82;22
China;47.47;29;UM;1;SEAO;7;0.96;6
Portugal;46.61;30;HI;29;EUR;20;0.73;62
Italy;46.40;31;HI;30;EUR;21;0.74;57
Malaysia;45.98;32;UM;2;SEAO;8;0.74;56
Latvia;45.51;33;HI;31;EUR;22;0.81;26
Cyprus;43.51;34;HI;32;NAWA;2;0.66;90
Hungary;43.00;35;UM;3;EUR;23;0.78;35
Slovakia;42.99;36;HI;33;EUR;24;0.76;48
Barbados;42.47;37;HI;34;LCN;1;0.81;25
Lithuania;42.26;38;HI;35;EUR;25;0.70;74
Bulgaria;42.16;39;UM;4;EUR;26;0.83;21
Croatia;41.70;40;HI;36;EUR;27;0.75;50
Montenegro;41.23;41;UM;5;EUR;28;0.79;29
Chile;41.20;42;HI;37;LCN;2;0.68;82
SaudiArabia;40.65;43;HI;38;NAWA;3;0.72;69
Moldova;40.53;44;LM;1;EUR;29;0.98;5
Greece;40.28;45;HI;39;EUR;30;0.65;98
Poland;40.16;46;HI;40;EUR;31;0.66;93
UnitedArabEmirates;40.06;47;HI;41;NAWA;4;0.41;133
RussianFederation;39.32;48;HI;42;EUR;32;0.74;60
Mauritius;39.23;49;UM;6;SSF;1;0.65;96
Qatar;39.01;50;HI;43;NAWA;5;0.61;110
CostaRica;38.59;51;UM;7;LCN;3;0.79;32
VietNam;38.35;52;LM;2;SEAO;9;0.92;9
Belarus;38.23;53;UM;8;EUR;33;0.70;73
Romania;38.20;54;UM;9;EUR;34;0.74;58
Thailand;38.10;55;UM;10;SEAO;10;0.76;43
Macedonia;38.03;56;UM;11;EUR;35;0.73;64
Mexico;38.03;57;UM;12;LCN;4;0.73;61
Turkey;37.81;58;UM;13;NAWA;6;0.81;23
Bahrain;37.67;59;HI;44;NAWA;7;0.63;105
SouthAfrica;37.45;60;UM;14;SSF;2;0.66;94
Armenia;37.31;61;LM;3;NAWA;8;0.79;34
Panama;36.80;62;UM;15;LCN;5;0.78;36
Serbia;36.47;63;UM;16;EUR;36;0.75;55
Ukraine;36.45;64;LM;4;EUR;37;0.87;15
Seychelles;36.44;65;UM;17;SSF;3;0.67;88
Mongolia;36.41;66;LM;5;SEAO;11;0.61;111
Colombia;36.41;67;UM;18;LCN;6;0.60;114
Uruguay;35.76;68;HI;45;LCN;7;0.66;91
Oman;35.00;69;HI;46;NAWA;9;0.67;86
Brazil;34.95;70;UM;19;LCN;8;0.65;99
Peru;34.87;71;UM;20;LCN;9;0.60;113
Argentina;34.30;72;UM;21;LCN;10;0.75;52
Georgia;33.83;73;LM;6;NAWA;10;0.62;107
Lebanon;33.82;74;UM;22;NAWA;11;0.67;87
Jordan;33.78;75;UM;23;NAWA;12;0.72;68
Tunisia;33.48;76;UM;24;NAWA;13;0.71;71
Kuwait;33.20;77;HI;47;NAWA;14;0.73;65
Morocco;33.19;78;LM;7;NAWA;15;0.64;102
BosniaandHerzegovina;32.31;79;UM;25;EUR;38;0.39;135
TrinidadandTobago;32.18;80;HI;48;LCN;11;0.66;92
India;31.74;81;LM;8;CSA;1;0.79;31
Kazakhstan;31.25;82;UM;26;CSA;2;0.53;124
Philippines;31.05;83;LM;9;SEAO;12;0.76;44
Senegal;30.95;84;LM;10;SSF;4;0.81;24
SriLanka;30.79;85;LM;11;CSA;3;0.76;46
Guyana;30.75;86;LM;12;LCN;12;0.65;95
